"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01334",27,11,597.856,11723,2587500,0.297
"bp_0.02105",27,13,623.967,11650,2192000,0.296
"bp_0.02875",18,6,623.533,11378,1759500,0.289
"bp_0.03646",15,6,633.857,11536,1613000,0.293
"bp_0.04417",14,5,646.273,11566,1561500,0.293
"bp_0.05187",16,6,652.968,11552,1505500,0.293
"bp_0.05958",13,2,656.064,11444,1443500,0.29
"bp_0.06728",13,4,673.88,11617,1501000,0.295
"bp_0.07499",14,4,668.5,11689,1491500,0.297
