"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01778",17,8,113.315,11626,1416500,0.295
"bp_0.02259",21,13,118.865,11550,1386000,0.293
"bp_0.02739",15,8,122.96,11582,1240000,0.294
"bp_0.0322",15,8,127.54,11635,1199000,0.295
"bp_0.037",14,7,130.037,11689,1183500,0.297
"bp_0.04181",15,8,132.058,11630,1166000,0.295
"bp_0.04662",14,7,127.027,11542,1172500,0.293
"bp_0.05142",15,8,133.114,11675,1129000,0.296
"bp_0.05623",15,8,134.781,11679,1101000,0.296
