"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01",15,6,140.762,11868,1698000,0.301
"bp_0.0127",20,10,142.662,11976,1748000,0.304
"bp_0.0154",15,6,144.898,11832,1593000,0.3
"bp_0.01811",17,9,157.615,12557,1485000,0.319
"bp_0.02081",12,4,157.056,12502,1365500,0.317
"bp_0.02351",18,9,158.839,12101,1432000,0.307
"bp_0.02622",16,8,159.828,12360,1389000,0.314
"bp_0.02892",10,3,165.335,12458,1313500,0.316
"bp_0.03162",13,5,166.854,12242,1244500,0.311
