"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01",18,9,170.665,11502,1805500,0.292
"bp_0.0127",20,9,173.036,11475,1763000,0.291
"bp_0.0154",20,6,180.855,11944,1709500,0.303
"bp_0.01811",18,8,184.162,11842,1553000,0.3
"bp_0.02081",17,8,186.476,11541,1453500,0.293
"bp_0.02351",14,4,185.389,11676,1434500,0.296
"bp_0.02622",13,4,191.051,11630,1387000,0.295
"bp_0.02892",13,3,197.006,11632,1348500,0.295
"bp_0.03162",12,3,193.774,11813,1377500,0.3
