"","clumps","orphans","cost","pu","boundary","area"
"bp_0.03162",21,1,487.509,11647,1657500,0.296
"bp_0.08038",13,1,563.012,11510,1145000,0.292
"bp_0.12914",10,1,599.851,11219,983500,0.285
"bp_0.1779",10,1,615.737,11125,924000,0.282
"bp_0.22666",14,3,631.7,11264,1064500,0.286
"bp_0.27542",8,1,682.457,11108,845500,0.282
"bp_0.32418",8,1,723.335,11005,766500,0.279
"bp_0.37294",8,2,780.965,11769,752500,0.299
"bp_0.4217",4,1,1364.878,20372,851000,0.517
