"","clumps","orphans","cost","pu","boundary","area"
"bp_0.07499",12,1,198.484,1381,1461000,0.302
"bp_0.11833",8,0,210.125,1378,1242000,0.301
"bp_0.16167",8,1,213.467,1363,1195500,0.298
"bp_0.20501",7,1,216.99,1367,1170000,0.299
"bp_0.24835",7,0,226.461,1386,1125000,0.303
"bp_0.29168",7,1,230.084,1392,1107000,0.304
"bp_0.33502",7,0,236.948,1408,1078500,0.308
"bp_0.37836",7,0,252.388,1429,1032000,0.312
"bp_0.4217",7,0,262.141,1456,997500,0.318
