"","clumps","orphans","cost","pu","boundary","area"
"bp_0.4217",22,3,6597.615,1356,2758500,0.296
"bp_0.49399",20,2,6634.232,1393,2334000,0.305
"bp_0.56628",18,2,6692.147,1381,2328000,0.302
"bp_0.63856",18,1,6797.292,1418,2230500,0.31
"bp_0.71085",14,0,6898.832,1369,2023500,0.299
"bp_0.78314",13,0,6913.199,1364,2028000,0.298
"bp_0.85543",13,0,6722.268,1347,1825500,0.294
"bp_0.92771",18,3,6795.126,1369,1867500,0.299
"bp_1",13,1,7020.047,1381,1861500,0.302
