"","clumps","orphans","cost","pu","boundary","area"
"bp_1",12,0,7754.673,1479,1518000,0.323
"bp_1.27028",12,1,7746.156,1437,1405500,0.314
"bp_1.54057",12,2,7765.171,1441,1317000,0.315
"bp_1.81086",11,2,8045.527,1503,1144500,0.329
"bp_2.08114",11,1,8034.358,1481,1147500,0.324
"bp_2.35142",11,1,8083.389,1493,1146000,0.326
"bp_2.62171",10,1,8194.948,1457,1084500,0.319
"bp_2.892",11,1,8169.072,1445,1093500,0.316
"bp_3.16228",9,1,8226.529,1433,1054500,0.313
