"","clumps","orphans","cost","pu","boundary","area"
"bp_0.03162",14,4,161.743,1433,1612500,0.313
"bp_0.04017",13,4,167.765,1481,1422000,0.324
"bp_0.04872",12,1,172.454,1478,1278000,0.323
"bp_0.05726",12,2,172.616,1488,1260000,0.325
"bp_0.06581",12,3,173.981,1499,1221000,0.328
"bp_0.07436",10,1,183.996,1509,1069500,0.33
"bp_0.08291",10,1,180.484,1544,1089000,0.338
"bp_0.09145",10,3,184.608,1491,1033500,0.326
"bp_0.1",9,1,187.261,1513,996000,0.331
