"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01778",24,10,616.022,11374,2399500,0.289
"bp_0.02259",19,7,632.132,11399,2023500,0.289
"bp_0.02739",15,5,640.478,11368,1869500,0.288
"bp_0.0322",15,5,647.261,11420,1831500,0.29
"bp_0.037",18,7,657.873,11547,1751500,0.293
"bp_0.04181",15,6,664.405,11596,1709500,0.294
"bp_0.04662",20,11,666.316,11494,1729500,0.292
"bp_0.05142",22,12,678.924,11515,1682500,0.292
"bp_0.05623",16,6,683.582,11582,1655000,0.294
