"","clumps","orphans","cost","pu","boundary","area"
"bp_0.03162",16,9,118.257,11571,1192500,0.294
"bp_0.03704",15,7,125.76,11662,1148000,0.296
"bp_0.04246",15,7,127.871,11635,1087000,0.295
"bp_0.04788",16,7,128.859,11627,1082000,0.295
"bp_0.05331",13,4,131.881,11592,1068000,0.294
"bp_0.05873",16,8,131.776,11542,1065500,0.293
"bp_0.06415",14,6,134.686,11566,1039000,0.293
"bp_0.06957",12,4,132.493,11443,1049000,0.29
"bp_0.07499",9,4,162.205,11331,872500,0.288
