"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01334",32,17,482.438,11437,2410500,0.29
"bp_0.02105",19,7,498.459,11435,1804000,0.29
"bp_0.02875",17,7,514.15,11509,1697500,0.292
"bp_0.03646",21,12,520.972,11444,1667500,0.29
"bp_0.04417",11,4,528.148,11592,1452000,0.294
"bp_0.05187",14,6,529.62,11765,1572500,0.299
"bp_0.05958",12,4,535.692,11814,1370500,0.3
"bp_0.06728",12,5,554.705,11794,1347500,0.299
"bp_0.07499",12,3,559.699,11948,1297500,0.303
