"","clumps","orphans","cost","pu","boundary","area"
"bp_0.00562",24,11,153.959,11633,2117000,0.295
"bp_0.00887",19,9,158.32,11592,1709500,0.294
"bp_0.01212",19,9,164.281,11872,1621500,0.301
"bp_0.01537",19,8,167.524,11911,1665000,0.302
"bp_0.01862",13,5,175.676,12035,1413000,0.305
"bp_0.02187",14,6,179.238,11793,1331500,0.299
"bp_0.02512",14,7,177.042,11709,1296500,0.297
"bp_0.02837",11,4,180.707,11952,1300500,0.303
"bp_0.03162",12,5,181.876,12114,1271500,0.307
