"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01334",31,13,619.258,11286,2753000,0.286
"bp_0.02105",32,21,649.549,11487,2433000,0.291
"bp_0.02875",17,6,646.668,11339,1889500,0.288
"bp_0.03646",14,5,658.041,11436,1734000,0.29
"bp_0.04417",17,8,666.811,11463,1760000,0.291
"bp_0.05187",21,11,689.383,11620,1701500,0.295
"bp_0.05958",21,10,700.174,11584,1633500,0.294
"bp_0.06728",13,2,699.121,11660,1618000,0.296
"bp_0.07499",11,2,709.055,11520,1478000,0.292
