"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01778",36,22,567.093,12474,2496000,0.317
"bp_0.02259",19,6,561.813,12070,1976000,0.306
"bp_0.02739",17,5,566.581,12020,1870500,0.305
"bp_0.0322",15,4,578.448,12143,1723500,0.308
"bp_0.037",15,4,614.091,12889,1688500,0.327
"bp_0.04181",16,5,588.041,12209,1643000,0.31
"bp_0.04662",16,5,597.197,12139,1604000,0.308
"bp_0.05142",15,5,601.805,12260,1514000,0.311
"bp_0.05623",15,6,605.191,12198,1528500,0.31
