"","clumps","orphans","cost","pu","boundary","area"
"bp_1",13,0,4824.868,1339,1392000,0.293
"bp_1.27028",15,4,4895.583,1332,1375500,0.291
"bp_1.54057",14,4,4956.151,1337,1314000,0.292
"bp_1.81086",15,4,5140.405,1338,1309500,0.293
"bp_2.08114",14,4,5114.193,1350,1203000,0.295
"bp_2.35142",15,3,5144.896,1344,1240500,0.294
"bp_2.62171",14,4,5141.551,1345,1218000,0.294
"bp_2.892",14,2,5271.248,1328,1129500,0.29
"bp_3.16228",11,2,5449.217,1324,1020000,0.289
