"","clumps","orphans","cost","pu","boundary","area"
"bp_3.16228",10,1,5798.442,1347,1105500,0.294
"bp_4.01699",9,2,5986.374,1340,1011000,0.293
"bp_4.87171",8,2,6069.053,1350,964500,0.295
"bp_5.72642",7,2,6176.668,1360,927000,0.297
"bp_6.58114",8,2,6739.988,1305,843000,0.285
"bp_7.43586",5,1,7066.717,1266,784500,0.277
"bp_8.29057",9,2,6869.262,1288,840000,0.282
"bp_9.14529",5,1,7660.418,1257,702000,0.275
"bp_10",6,2,7374.228,1313,729000,0.287
