"","clumps","orphans","cost","pu","boundary","area"
"bp_0.00562",20,9,143.516,12110,1960500,0.307
"bp_0.00714",19,7,145.44,12082,1851000,0.307
"bp_0.00866",19,12,151.065,12393,1749500,0.314
"bp_0.01018",16,10,152.84,12284,1576000,0.312
"bp_0.0117",12,6,155.791,12460,1472000,0.316
"bp_0.01322",13,7,157.677,12525,1419500,0.318
"bp_0.01474",13,7,162.71,12475,1368500,0.317
"bp_0.01626",14,8,164.736,12418,1350000,0.315
"bp_0.01778",12,6,167.588,12757,1291000,0.324
