"","clumps","orphans","cost","pu","boundary","area"
"bp_0.05623",9,1,212.666,1484,1398000,0.324
"bp_0.0617",10,2,215.281,1473,1393500,0.322
"bp_0.06717",10,2,210.483,1462,1368000,0.32
"bp_0.07264",7,1,216.998,1502,1281000,0.328
"bp_0.07812",8,2,214.732,1481,1269000,0.324
"bp_0.08359",9,0,214.57,1503,1330500,0.329
"bp_0.08906",7,0,217.619,1478,1302000,0.323
"bp_0.09453",6,2,217.251,1483,1242000,0.324
"bp_0.1",5,1,227.988,1527,1149000,0.334
