"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01334",17,8,205.731,11314,1733000,0.287
"bp_0.01562",16,7,209.2,11376,1639500,0.289
"bp_0.01791",17,9,212.014,11322,1631000,0.287
"bp_0.0202",14,6,213.215,11340,1575000,0.288
"bp_0.02248",15,7,213.062,11527,1511500,0.292
"bp_0.02477",16,6,214.405,11406,1515000,0.289
"bp_0.02705",14,6,217.978,11634,1461000,0.295
"bp_0.02934",13,5,219.729,11766,1451500,0.299
"bp_0.03162",12,3,227.494,12562,1404000,0.319
