"","clumps","orphans","cost","pu","boundary","area"
"bp_0.07499",15,5,501.887,11302,1139000,0.287
"bp_0.08785",14,3,506.543,11307,1118500,0.287
"bp_0.1007",13,5,545.205,11069,1056000,0.281
"bp_0.11355",14,7,556.528,11082,975000,0.281
"bp_0.12641",17,11,552.384,11120,994500,0.282
"bp_0.13926",10,4,557.78,11178,904500,0.284
"bp_0.15212",11,4,556.328,11193,969500,0.284
"bp_0.16497",13,6,559.43,11138,932000,0.283
"bp_0.17783",11,4,573.888,11030,885000,0.28
