"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01778",8,1,34.713,1532,1213500,0.335
"bp_0.02259",8,1,34.009,1471,1222500,0.322
"bp_0.02739",8,1,34.162,1484,1180500,0.324
"bp_0.0322",7,1,34.565,1475,1158000,0.322
"bp_0.037",7,1,35.012,1476,1140000,0.323
"bp_0.04181",6,1,36.671,1514,1099500,0.331
"bp_0.04662",6,0,36.438,1518,1096500,0.332
"bp_0.05142",7,1,36.129,1486,1114500,0.325
"bp_0.05623",6,0,38.204,1519,1054500,0.332
