"","clumps","orphans","cost","pu","boundary","area"
"bp_0.07499",13,3,128.42,1380,1372500,0.302
"bp_0.08785",11,1,132.752,1358,1303500,0.297
"bp_0.1007",14,2,132.366,1360,1302000,0.297
"bp_0.11355",11,2,132.965,1358,1267500,0.297
"bp_0.12641",11,0,134.652,1365,1242000,0.298
"bp_0.13926",11,2,136.75,1352,1216500,0.296
"bp_0.15212",11,1,137.671,1351,1204500,0.295
"bp_0.16497",8,0,142.423,1355,1155000,0.296
"bp_0.17783",11,1,142.305,1333,1147500,0.291
