"","clumps","orphans","cost","pu","boundary","area"
"bp_0.01334",19,8,175.124,11729,1835000,0.298
"bp_0.01562",15,5,174.77,11458,1755500,0.291
"bp_0.01791",20,10,184.047,11546,1686000,0.293
"bp_0.0202",21,11,185.844,11576,1632500,0.294
"bp_0.02248",23,15,184.491,11642,1647500,0.295
"bp_0.02477",16,6,189.772,11486,1559000,0.291
"bp_0.02705",14,5,192.026,11546,1498000,0.293
"bp_0.02934",12,3,197.646,11580,1432000,0.294
"bp_0.03162",11,3,192.149,11624,1418000,0.295
