"","clumps","orphans","cost","pu","boundary","area"
"bp_0.03162",17,3,113.045,1343,1597500,0.294
"bp_0.04017",16,3,114.702,1338,1563000,0.293
"bp_0.04872",14,1,119.192,1344,1428000,0.294
"bp_0.05726",12,1,121.211,1340,1386000,0.293
"bp_0.06581",12,1,120.787,1340,1369500,0.293
"bp_0.07436",11,0,122.685,1340,1264500,0.293
"bp_0.08291",13,1,123.8,1335,1251000,0.292
"bp_0.09145",13,0,127.688,1332,1285500,0.291
"bp_0.1",13,0,126.91,1340,1291500,0.293
